course_title,course_by,skills,course_rating,url,course_students_enrolled,reviews,course_difficulty,course_type,course_time
Machine Learning Engineering for Production (MLOps),DeepLearning.AI," Machine Learning, Applied Machine Learning, Tensorflow, Python Programming, Statistical Programming, DevOps, Devops Tools, Exploratory Data Analysis, Feature Engineering, Machine Learning Software, Probability & Statistics, Cloud Computing, Deep Learning, Google Cloud Platform, Performance Management, Strategy and Operations, Kubernetes, Leadership and Management",4.7,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,60425,3400,Advanced,Specialization,3 - 6 Months
IBM Machine Learning,IBM," Machine Learning, Machine Learning Algorithms, Human Learning, Statistical Machine Learning, Data Analysis, Probability & Statistics, Applied Machine Learning, Algorithms, Forecasting, Statistical Analysis, Regression, Deep Learning, General Statistics, Python Programming, Machine Learning Software, Artificial Neural Networks, Exploratory Data Analysis, Feature Engineering, Correlation And Dependence, Dimensionality Reduction, Statistical Tests, Probability Distribution, Reinforcement Learning, Basic Descriptive Statistics, Network Model, Tensorflow",4.6,https://www.coursera.org/professional-certificates/ibm-machine-learning,22376,2000,Intermediate,Professional Certificate,3 - 6 Months
Indigenous Canada,University of Alberta, Critical Thinking,4.8,https://www.coursera.org/learn/indigenous-canada,572934,22000,Mixed,Course,1 - 3 Months
Connect and Protect: Networks and Network Security,Google," Network Security, Cloud Computing, Network Architecture",4.8,https://www.coursera.org/learn/networks-and-network-security,26028,2400,Beginner,Course,1 - 4 Weeks
Preparing for Google Cloud Certification: Cloud Developer,Google Cloud," Cloud Applications, Cloud Computing, Google Cloud Platform, Cloud Infrastructure, Cloud Platforms, Cloud API, Cloud Engineering, Other Cloud Platforms and Tools, Cloud Management, Cloud Storage, Cloud Load Balancing, DevOps, Application Development, Google App Engine, Software Architecture, Computer Architecture, Docker (Software), Machine Learning Software, Kubernetes",4.7,https://www.coursera.org/professional-certificates/google-cloud-developer,6709,51000,Intermediate,Professional Certificate,3 - 6 Months
What is Data Science?,IBM," Data Science, Data Mining, Big Data, Data Analysis, Deep Learning, Machine Learning, Regression, Writing",4.7,https://www.coursera.org/learn/what-is-datascience,871872,67000,Beginner,Course,1 - 4 Weeks
Reinforcement Learning,University of Alberta," Machine Learning, Reinforcement Learning, Algorithms, Human Learning, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, Python Programming, Statistical Machine Learning, Statistical Programming, Artificial Neural Networks, Planning, Decision Making",4.7,https://www.coursera.org/specializations/reinforcement-learning,47795,3300,Intermediate,Specialization,3 - 6 Months
Tableau Business Intelligence Analyst,Tableau Learning Partner," Business Analysis, Data Analysis, Data Architecture, Data Management, Data Visualization, Interactive Data Visualization, Project Management, Tableau Software",4.7,https://www.coursera.org/professional-certificates/tableau-business-intelligence-analyst,5132,161,Beginner,Professional Certificate,3 - 6 Months
Process Data from Dirty to Clean,Google," Data Analysis, SQL, Spreadsheet Software, General Statistics, Databases, Extract, Transform, Load, Microsoft Excel",4.8,https://www.coursera.org/learn/process-data,540235,14000,Beginner,Course,1 - 3 Months
Improve Your English Communication Skills,Georgia Institute of Technology," Communication, Writing, Business Communication, Professional Development",4.7,https://www.coursera.org/specializations/improve-english,610452,26000,Beginner,Specialization,3 - 6 Months
